272619,32.191878,-110.801105, Lou Perry  Insurance  Insurance Agent  builder custom   Services 
272620,32.223325,-110.905165, Dean Groth Real Estate Inc  Real Estate  Real Estate Agent  builder custom   Services 
272631,32.213384,-110.801046, Acetile Installation  Building & Trades  Construction  contractor   Services 
272632,32.227517,-110.965656, Tarahumara Imports  Wholesale  Non-durable Goods  contractor   Manufacturing & Wholesale Goods 
272642,32.208315,-110.909522, Stanley Group Ltd  Real Estate  Developer  consulting business   Services 
272653,32.235622,-110.821095, Briarcrest Animal Clinic  Retail  Veterinary Services  veterinarian   Services 
272658,32.25053,-110.900212, Gus's Liquor Store II  Food & Beverages  Liquor & Beverages  store jeweler   Retail Goods 
272659,31.365222,-110.933913, Goldberg & Osborne  Professional  Lawyer & Legal Services  attorney   Services 
272660,32.249891,-110.851542, Averill M Law & Associates  Professional  Computer Services  consultant training business   Services 
272661,32.26673,-110.825848, Cactus Quilt Shop  Shopping  Crafts & Fabrics  sewing   Retail Goods 
272663,32.304096,-110.994314, Whispering Hills Care Homes  Social Services  Adult Care  home residential   Services 
272666,32.201447,-110.790635, Leah Simmers Photography  Professional  Art Services  photographer   Services 
272669,32.163139,-110.978932, Eagle Appliance  Shopping  Used Merchandise  appliance   Retail Goods 
272671,32.22499,-110.986072, Pima County Community Svc  Government  Office  appliance   Public Place 
272674,32.23608,-110.957077, Noble Roman's  Restaurant    family general new home contractor remodeling   Food & Drink 
272678,32.075714,-110.931197, Desert Design Enterprises  Home & Garden  Home Furnishings  curtain made drapery   Retail Goods 
272680,32.28825,-110.97812, Crabtree and Evelyn  Shopping  Beauty & Cosmetics  shop toiletry   Retail Goods 
272723,31.851977,-110.998506, Wells Fargo Bank N A  Banks & Credit Unions  Bank  state commercial   Services 
272725,32.352617,-110.999271, Ppep Group Home Liddell  Social Services  Adult Care  home group   Services 
272727,32.221285,-110.856973, Christie's Appliance  Home & Garden  Household Appliances  home group   Retail Goods 
272740,32.22105,-110.978674, Honorable Peter Eckerstrom  Government  Office  envelope   Public Place 
272744,34.255126,-111.322559, Trio Partner Enterprise  Professional    establishment   Services 
272747,32.322207,-110.974673, Show Me Arizona Tucson  Professional  Business Services  convention meeting facility   Services 
272749,32.250516,-111.007027, Floorworks Inc  Building & Trades  Construction  installs floor covering   Services 
272751,32.270833,-110.972987, Reptech  Wholesale  Machinery & Supplies  gage   Manufacturing & Wholesale Goods 
272762,32.191831,-110.792027, Nel's Shear Magic  Personal  Beauty Salon  machine shop   Services 
272764,32.212102,-110.802738, Reflection Designs By Julie  Shopping  Florist  machine shop   Retail Goods 
272771,32.318401,-110.915318, A F Sterling Home Builders  Real Estate  Developer  development   Services 
272778,32.250542,-110.897284, Willy's The Total Salon  Personal  Beauty Salon  house   Services 
