272967,32.714642,-114.688874, Vigor Auto Sales  Autos & Motor Vehicles  Automobile Sales  used   Retail Goods 
273779,32.561134,-114.78467, Arvizus Auto Sales  Autos & Motor Vehicles  Automobile Sales  used   Retail Goods 
274248,32.596551,-114.711146, Fashion Chim  Shopping  Shoes  home residential   Retail Goods 
283067,32.600231,-114.735658, Bc Harvesting  Farming  Farm & Veterinary Services  crop harvesting   Manufacturing & Wholesale Goods 
290000,32.713075,-114.690799, Mullis Enterprises LLC  Freight    equipment general   Transportation 
293748,32.600511,-114.73566, Sabastian Harvesting  Farming  Farm & Veterinary Services  crop harvesting   Manufacturing & Wholesale Goods 
294752,32.64396,-114.703734, Merlene Pendergrass  Professional    treatment skin   Services 
297693,32.666015,-114.694355, J & R Trucking  Freight    company trucking   Transportation 
298094,32.495623,-114.761861, Lion Electric LLC  Building & Trades  Electrical  electrical contractor   Services 
317194,32.597593,-114.716286, NAPA Auto Parts  Wholesale  Auto Parts  cigarette cigar dealer   Manufacturing & Wholesale Goods 
319746,32.596676,-114.691426, Doug Mellon Farms  Farming  Livestock Farm  beef feedlot cattle   Manufacturing & Wholesale Goods 
321781,32.597837,-114.704252, Rustys Produce Sales  Wholesale  Fruits & Vegetables  produce   Manufacturing & Wholesale Goods 
324638,32.669065,-114.726778, Harvest Fabrication & Steel  Manufacturing  Metals  steel fabrication   Manufacturing & Wholesale Goods 
325249,32.683694,-114.731406, Mission Ranches  Farming  Livestock Farm  animal general   Manufacturing & Wholesale Goods 
331105,32.488968,-114.783565, San Luis Trucking Inc  Freight    operator trucking   Transportation 
335089,32.715488,-114.7105, Yucca Power Plant  Utilities  Electric  veterinarian   Services 
335200,32.713013,-114.695387, Knowlton Services Inc  Building & Trades  Construction  contractor   Services 
340371,32.572153,-114.786876, Miller & Son of Somerton LLC  Building & Trades  Construction  industrial   Services 
352517,32.669053,-114.71718, Yuco Gin Inc II  Farming  Farm & Veterinary Services  cotton ginning   Manufacturing & Wholesale Goods 
354517,32.709331,-114.687846, Farrow Farm  Farming  Farm  crop general   Manufacturing & Wholesale Goods 
356585,32.643454,-114.710287, Weber Implement  Wholesale  Machinery & Supplies  equipment farming used   Manufacturing & Wholesale Goods 
365416,32.716873,-114.707853, Yuma Area Office  Government  Office  reclamation   Public Place 
366842,32.726634,-114.691148, Linder Contracting Inc  Building & Trades  Construction  residential contractor   Services 
373029,32.669053,-114.71718, Sandstone Farms  Farming  Farm  crop general   Manufacturing & Wholesale Goods 
374560,32.596725,-114.707135, AZ Rehabilitation Svc  Government  Office  program administrative   Public Place 
375824,32.645302,-114.710252, Esquire Mini-Mart  Food & Beverages  Liquor & Beverages  store   Retail Goods 
380379,32.643449,-114.710137, E Nn Excavation & Trucking  Building & Trades  Construction  excavation contractor   Services 
384401,32.647337,-114.736211, Salyer American  Farming  Farm  crop general   Manufacturing & Wholesale Goods 
385829,32.635027,-114.727326, Valley Meat Company  Farming  Farm & Veterinary Services  appraisal livestock   Manufacturing & Wholesale Goods 
386482,32.713075,-114.690799, Paws & Claws Pet Grooming  Retail  Animal Services  home builder   Services 
389476,32.59665,-114.699047, Source One  Wholesale  Farm Supplies  loan   Manufacturing & Wholesale Goods 
389804,32.669087,-114.697949, S T Creations  Wholesale  Machinery & Supplies  equipment industrial   Manufacturing & Wholesale Goods 
396797,32.599389,-114.701552, Victor Santos  Freight    home improvement   Transportation 
403138,32.666061,-114.69624, Desertkartscom  Manufacturing  Metals  mfg   Manufacturing & Wholesale Goods 
414295,32.617809,-114.735789, Texas Hl Farms Yuma Field Ofc  Farming  Livestock Farm  beef feedlot cattle   Manufacturing & Wholesale Goods 
415044,32.690493,-114.710552, Yuan Da Plastic Fabric Co  Shopping  Crafts & Fabrics  sewing   Retail Goods 
426972,32.712999,-114.697133, Inway Construction Company  Building & Trades  Construction  general contractor   Services 
428327,32.792631,-115.54408, Imperial County Victim Witness  Government  Office  condominium   Public Place 
428578,32.7781,-115.552269, U-Haul Co  Retail  Auto Rental  renting truck leasing   Services 
429190,32.66554,-115.495385, Casa De Cambio Pronto Lim  Banks & Credit Unions  Bank  money broker   Services 
429252,32.789777,-115.563535, Central Union High School  Education  School  equipment industrial   Public Place 
429346,32.986451,-115.515439, Brawley Tires  Retail  Auto Repair  repairing tire   Services 
429631,32.666616,-115.494999, LA Familia  Food & Beverages  Groceries & Convenience Stores  grocer   Retail Goods 
429797,32.986601,-115.517116, Aramark Uniform Svc  Wholesale  Home Furnishings  mat matting   Manufacturing & Wholesale Goods 
430051,32.666766,-115.49735, Tienda Del Army  Shopping  Clothing  Apparel  & Fashions  navy army   Retail Goods 
430639,32.689647,-115.493281, Iglesia Cristiana Rey De Reyes  Organizations  Religious Organization  church   Services 
